Title,URL
Boeing Starliner launches first crewed mission,https://www.bbc.co.uk/news/live/world-us-canada-69094213
Vulkan1.3 on the M1 in one month,https://rosenzweig.io/blog/vk13-on-the-m1-in-1-month.html
Mathematical Optimization for Cargo Ships,https://research.google/blog/heuristics-on-the-high-seas-mathematical-optimization-for-cargo-ships/
For sale replica of the mustang aircraft,https://www.scalewings.com/sw-51-mustang/
DHCPv6-PD – First Steps,https://sha256.net/dhcpv6-pd-first-steps.html
Show HN: Original 8x16 ASCII Fixed Width Font: Classic Console Neue,https://webdraft.hu/fonts/classic-console/
Jury Finds Boeing Stole Tech from Electric Airplane Startup,https://www.govtech.com/public-safety/jury-finds-boeing-stole-tech-from-electric-airplane-startup
Largest Autonomous Ride-Hail Territory in US Now Even Larger,https://waymo.com/blog/2024/06/largest-autonomous-ride-hail-territory-in-us-now-even-larger/
We improved the performance of a userspace TCP stack in Go,https://coder.com/blog/delivering-5x-faster-throughput-in-coder-2-12-0
Show HN: Foosbar – My autonomous foosball-playing robot,https://github.com/misprit7/foosbar
Implementing the Goodfellow GANs paper,https://ym2132.github.io/GenerativeAdversarialNetworks_Goodfellow
Minimalistic Beat Maker,https://martinwecke.de/108/
FBI raids Atlanta corporate landlord in probe of rental market price fixing,https://www.ajc.com/news/atlanta-news/fbi-raids-atlanta-corporate-landlord-with-ties-to-realpage/PT65C57YUFF2JGB7TRVRC7IFLE/
How big a deal was the Industrial Revolution? (2017),https://lukemuehlhauser.com/industrial-revolution/
"Show HN: Laudspeaker – Open-source mobile push, SMS and email automation",https://github.com/laudspeaker/laudspeaker
